WORD,MPQA,TYPE,LEN,POS,STEM,P,PP,MP
advantage,1.0,weaksubj,1,adj,n,,positive,
advantage,1.0,weaksubj,1,noun,n,,positive,
advantageous,1.0,strongsubj,1,adj,n,,positive,
advantages,1.0,weaksubj,1,adj,n,,positive,
advantages,1.0,weaksubj,1,noun,n,,positive,
adventure,1.0,weaksubj,1,adj,n,,positive,
adventure,1.0,weaksubj,1,noun,n,,positive,
adventuresome,1.0,strongsubj,1,noun,n,,positive,
adventurism,1.0,strongsubj,1,noun,n,,positive,
adventurous,1.0,weaksubj,1,adj,n,,positive,
adversarial,-1.0,weaksubj,1,adj,n,,negative,
adversary,-1.0,weaksubj,1,noun,y,,negative,
adverse,-1.0,weaksubj,1,adj,n,,negative,
adversity,-1.0,strongsubj,1,noun,n,,negative,
advice,1.0,weaksubj,1,adj,n,,positive,
advice,1.0,weaksubj,1,noun,n,,positive,
advisable,1.0,weaksubj,1,noun,n,,positive,
advocate,1.0,strongsubj,1,verb,y,,positive,
advocacy,1.0,strongsubj,1,noun,n,,positive,
affable,1.0,strongsubj,1,adj,n,,positive,
affability,1.0,weaksubj,1,noun,n,,positive,
affably,1.0,weaksubj,1,adverb,n,,positive,
affect,0.0,weaksubj,1,verb,y,,neutral,
affectation,-1.0,weaksubj,1,noun,n,,negative,
affected,0.0,strongsubj,1,adj,n,,neutral,
affection,1.0,strongsubj,1,adj,n,,positive,
affection,1.0,strongsubj,1,noun,n,,positive,
affectionate,1.0,strongsubj,1,adj,n,,positive,
affinity,1.0,weaksubj,1,noun,n,,positive,
affirm,1.0,strongsubj,1,verb,y,,positive,
affirmation,1.0,strongsubj,1,adj,n,,positive,
affirmation,1.0,strongsubj,1,noun,n,,positive,
affirmative,1.0,weaksubj,1,noun,n,,positive,
afflict,-1.0,weaksubj,1,verb,y,,negative,
affliction,-1.0,weaksubj,1,noun,n,,negative,
afflictive,-1.0,strongsubj,1,adj,n,,negative,
affluent,1.0,weaksubj,1,adj,n,,positive,
affluence,1.0,weaksubj,1,noun,n,,positive,
afford,1.0,weaksubj,1,verb,y,,positive,
affordable,1.0,weaksubj,1,adj,n,,positive,
affront,-1.0,strongsubj,1,noun,n,,negative,
affront,-1.0,strongsubj,1,verb,y,,negative,
afloat,1.0,weaksubj,1,adj,n,,positive,
afraid,-1.0,strongsubj,1,adj,n,,negative,
against,-1.0,weaksubj,1,anypos,n,,negative,
aggravate,-1.0,strongsubj,1,verb,y,,negative,
aggravating,-1.0,strongsubj,1,adj,n,,negative,
aggravation,-1.0,strongsubj,1,noun,n,,negative,
aggression,-1.0,strongsubj,1,adj,n,,negative,
aggression,-1.0,strongsubj,1,noun,n,,negative,
aggressive,-1.0,strongsubj,1,anypos,y,,negative,
aggressiveness,-1.0,strongsubj,1,noun,n,,negative,
aggressor,-1.0,strongsubj,1,noun,n,,negative,
aggrieve,-1.0,strongsubj,1,verb,y,,negative,
aggrieved,-1.0,strongsubj,1,adj,n,,negative,
aghast,-1.0,strongsubj,1,adj,n,,negative,
agile,1.0,weaksubj,1,adj,n,,positive,
agilely,1.0,weaksubj,1,adverb,n,,positive,
agility,1.0,weaksubj,1,noun,n,,positive,
agitate,-1.0,strongsubj,1,verb,y,,negative,
agitated,-1.0,strongsubj,1,adj,n,,negative,
agitation,-1.0,strongsubj,1,noun,n,,negative,
agitator,-1.0,strongsubj,1,noun,n,,negative,
agonies,-1.0,strongsubj,1,noun,n,,negative,
agonize,-1.0,strongsubj,1,verb,y,,negative,
agonizing,-1.0,strongsubj,1,adj,n,,negative,
agonizing,-1.0,strongsubj,1,anypos,y,,negative,
