WORD,VADER,STD
devotionals,0.3,1.07703
devotions,0.45,0.74833
diamond,0.35,1.42829
dick,-0.575,1.18743
dickhead,-0.775,0.53852
die,-0.725,0.9434
died,-0.65,1.28062
difficult,-0.375,0.5
difficulties,-0.3,0.4
difficultly,-0.425,0.45826
difficulty,-0.35,0.66332
diffident,-0.25,0.44721
dignified,0.55,0.6
dignifies,0.5,0.7746
dignify,0.45,0.74833
dignifying,0.525,1.04403
dignitaries,0.15,0.91652
dignitary,0.475,1.3
dignities,0.35,0.66332
dignity,0.425,0.9
dilemma,-0.175,1.48661
dipshit,-0.525,0.7
dire,-0.5,1.26491
direful,-0.775,0.83066
dirt,-0.35,0.91652
dirtier,-0.35,0.4899
dirtiest,-0.6,1.0198
dirty,-0.475,0.83066
disabling,-0.525,0.53852
disadvantage,-0.45,0.4
disadvantaged,-0.425,0.64031
disadvantageous,-0.45,0.74833
disadvantageously,-0.525,0.83066
disadvantageousness,-0.4,0.66332
disadvantages,-0.425,0.64031
disagree,-0.4,0.4899
disagreeable,-0.425,0.64031
disagreeableness,-0.425,0.64031
disagreeablenesses,-0.475,0.9434
disagreeably,-0.375,0.67082
disagreed,-0.325,0.64031
disagreeing,-0.35,0.8
disagreement,-0.375,0.67082
disagreements,-0.45,0.6
disagrees,-0.325,0.45826
disappear,-0.225,0.7
disappeared,-0.225,0.7
disappears,-0.35,0.8
disappoint,-0.425,0.64031
disappointed,-0.525,0.83066
disappointedly,-0.425,0.78102
disappointing,-0.55,0.6
disappointingly,-0.475,0.7
disappointment,-0.575,1.00499
disappointments,-0.5,1.09545
disappoints,-0.4,0.4899
disaster,-0.775,0.83066
disasters,-0.65,0.8
disastrous,-0.725,0.53852
disbelieve,-0.3,0.87178
discard,-0.25,0.44721
discarded,-0.35,0.91652
discarding,-0.175,0.45826
discards,-0.25,0.63246
discomfort,-0.45,0.6
discomfortable,-0.4,0.8
discomforted,-0.4,0.8
discomforting,-0.4,1.11355
discomforts,-0.325,0.9
disconsolate,-0.575,0.78102
disconsolation,-0.425,0.45826
discontented,-0.45,0.9798
discord,-0.425,0.64031
discounted,0.05,1.249
discourage,-0.45,0.6
discourageable,-0.3,0.9798
discouraged,-0.425,0.45826
discouragement,-0.5,0.89443
discouragements,-0.45,0.6
discourager,-0.425,0.78102
discouragers,-0.475,0.53852
discourages,-0.475,0.53852
discouraging,-0.475,0.7
discouragingly,-0.45,0.87178
discredited,-0.475,0.53852
disdain,-0.525,0.3
disgrace,-0.55,0.74833
disgraced,-0.5,0.44721
disguise,-0.25,1.09545
disguised,-0.275,1.04403
disguises,-0.25,0.63246
disguising,-0.325,0.78102
disgust,-0.725,0.7
disgusted,-0.6,0.91652
disgustedly,-0.75,0.89443
disgustful,-0.65,0.4899
disgusting,-0.6,1.11355
disgustingly,-0.725,0.7
disgusts,-0.525,0.53852
dishearten,-0.5,0.63246
disheartened,-0.55,0.74833
disheartening,-0.45,1.32665
dishearteningly,-0.5,0.63246
disheartenment,-0.575,0.45826
disheartenments,-0.55,0.87178
disheartens,-0.55,0.4
dishonest,-0.675,0.9
disillusion,-0.25,1.18322
disillusioned,-0.475,0.7
disillusioning,-0.325,1.00499
disillusionment,-0.425,0.78102
disillusionments,-0.375,1.0247
disillusions,-0.4,0.4899
disinclined,-0.275,0.53852
disjointed,-0.325,0.45826
dislike,-0.4,0.4899
disliked,-0.425,0.64031
dislikes,-0.425,0.78102
disliking,-0.325,0.45826
dismal,-0.75,1.0
dismay,-0.45,0.87178
dismayed,-0.475,0.9434
dismaying,-0.55,0.9798
dismayingly,-0.475,0.83066
dismays,-0.45,1.07703
disorder,-0.425,0.64031
disorganized,-0.3,0.4
disoriented,-0.375,0.67082
disparage,-0.5,0.44721
disparaged,-0.35,0.8
disparages,-0.4,0.8
disparaging,-0.55,0.6
displeased,-0.475,0.7
dispute,-0.425,0.78102
disputed,-0.35,0.66332
disputes,-0.275,1.64012
disputing,-0.425,0.64031
disqualified,-0.45,0.6
disquiet,-0.325,0.9
disregard,-0.275,0.53852
disregarded,-0.4,0.4899
disregarding,-0.225,0.53852
disregards,-0.35,0.4899
disrespect,-0.45,0.6
disrespected,-0.5,0.63246
disruption,-0.375,0.67082
disruptions,-0.35,0.4899
disruptive,-0.325,1.00499
dissatisfaction,-0.55,0.74833
dissatisfactions,-0.475,0.83066
dissatisfactory,-0.5,0.63246
dissatisfied,-0.4,0.66332
dissatisfies,-0.45,0.74833
dissatisfy,-0.55,0.6
dissatisfying,-0.6,0.91652
distort,-0.325,0.45826
distorted,-0.425,0.78102
distorting,-0.275,0.53852
distorts,-0.35,0.4899
distract,-0.3,0.6
distractable,-0.325,1.00499
distracted,-0.35,0.66332
distractedly,-0.225,0.7
distractibility,-0.325,1.1
distractible,-0.375,0.92195
distracting,-0.3,0.4
distractingly,-0.35,1.0198
distraction,-0.4,0.66332
distractions,-0.25,0.0
distractive,-0.4,0.4899
distracts,-0.325,0.45826
distraught,-0.65,0.8
distress,-0.6,0.8
distressed,-0.45,0.6
distresses,-0.4,0.66332
distressful,-0.55,0.6
distressfully,-0.425,1.1
distressfulness,-0.6,0.66332
distressing,-0.425,1.18743
distressingly,-0.55,0.74833
distrust,-0.45,0.87178
distrusted,-0.6,0.66332
distrustful,-0.525,0.83066
distrustfully,-0.45,0.6
distrustfulness,-0.4,0.66332
distrusting,-0.525,0.83066
distrusts,-0.325,0.45826
disturb,-0.425,0.45826
disturbance,-0.4,0.8
disturbances,-0.35,0.66332
disturbed,-0.4,0.4899
disturber,-0.35,0.4899
disturbers,-0.525,0.53852
disturbing,-0.575,0.45826
disturbingly,-0.575,0.78102
disturbs,-0.475,0.53852
dithering,-0.125,0.92195
divination,0.425,1.1
divinations,0.275,1.04403
divinatory,0.4,1.42829
divine,0.65,0.8
divined,0.2,1.16619
divinely,0.725,0.7
diviner,0.075,0.9
diviners,0.3,1.16619
divines,0.2,1.249
divinest,0.675,0.78102
diving,0.075,0.45826
divining,0.225,1.37477
divinise,0.125,1.36015
divinities,0.45,1.46969
divinity,0.675,1.00499
divinize,0.575,1.00499
dizzy,-0.225,0.3
dodging,-0.1,0.8
dodgy,-0.225,0.9434
dolorous,-0.55,0.6
dominance,0.2,0.87178
dominances,-0.025,0.9434
dominantly,0.05,1.16619
dominants,0.05,1.16619
dominate,-0.125,0.92195
dominates,0.05,1.249
dominating,-0.3,1.98997
domination,-0.05,0.9798
dominations,-0.075,0.45826
dominative,-0.175,1.18743
dominators,-0.1,1.8
dominatrices,-0.05,1.6
dominatrix,-0.125,0.92195
dominatrixes,0.15,1.35647
doom,-0.425,1.26886
doomed,-0.8,0.74833
doomful,-0.525,0.7
dooming,-0.7,0.4
dooms,-0.275,1.57797
doomsayer,-0.175,1.41774
doomsayers,-0.425,0.78102
doomsaying,-0.375,1.28452
doomsayings,-0.375,0.92195
doomsday,-0.7,1.249
doomsdayer,-0.55,1.249
doomsdays,-0.6,1.85472
doomster,-0.55,0.87178
doomsters,-0.4,0.8
doomy,-0.275,1.37477
dork,-0.35,0.66332
dorkier,-0.275,0.53852
dorkiest,-0.3,0.74833
dorks,-0.125,0.67082
dorky,-0.275,1.04403
doubt,-0.375,0.5
doubtable,-0.375,0.5
doubted,-0.275,1.22066
doubter,-0.4,0.91652
doubters,-0.325,0.45826
doubtful,-0.35,0.4899
doubtfully,-0.3,0.4
doubtfulness,-0.3,0.4
doubting,-0.35,0.4899
doubtingly,-0.35,0.4899
doubtless,0.225,1.51327
doubtlessly,0.3,0.9798
doubtlessness,0.2,0.9798
doubts,-0.3,0.6
douche,-0.375,1.68819
douchebag,-0.75,0.44721
downcast,-0.45,0.74833
downhearted,-0.575,0.78102
downside,-0.25,0.7746
drag,-0.225,0.83066
dragged,-0.05,1.07703
drags,-0.175,0.64031
drained,-0.375,0.5
dread,-0.5,0.63246
dreaded,-0.675,0.64031
dreadful,-0.475,1.86815
dreadfully,-0.675,1.26886
dreadfulness,-0.8,0.87178
dreadfuls,-0.6,1.2
dreading,-0.6,0.8
dreadlock,-0.1,0.66332
dreadlocks,-0.05,0.9798
dreadnought,-0.15,1.35647
dreadnoughts,-0.1,0.66332
dreads,-0.35,1.42829
dream,0.25,1.18322
dreams,0.425,1.1
dreary,-0.35,0.4899
droopy,-0.2,0.74833
drop,-0.275,0.53852
drown,-0.675,1.00499
drowned,-0.725,0.7
drowns,-0.55,1.6
drunk,-0.35,0.91652
dubious,-0.375,0.5
dud,-0.25,0.89443
dull,-0.425,0.45826
dullard,-0.4,0.66332
dullards,-0.45,0.87178
dulled,-0.375,0.5
duller,-0.425,0.64031
dullest,-0.425,1.00499
dulling,-0.275,0.7
dullish,-0.275,0.53852
dullness,-0.35,0.8
dullnesses,-0.475,1.04403
dulls,-0.25,0.44721
dullsville,-0.6,0.8
dully,-0.275,0.3
dumb,-0.575,0.9
dumbass,-0.65,1.0198
dumbbell,-0.2,0.9798
dumbbells,-0.05,0.4
dumbcane,-0.075,0.45826
dumbcanes,-0.15,1.2
dumbed,-0.35,0.4899
dumber,-0.375,0.5
dumbest,-0.575,1.00499
dumbfound,-0.025,1.92094
dumbfounded,-0.4,1.11355
dumbfounder,-0.25,0.89443
dumbfounders,-0.25,0.89443
dumbfounding,-0.2,0.74833
dumbfounds,-0.075,1.26886
dumbhead,-0.65,0.66332
dumbheads,-0.475,0.83066
dumbing,-0.125,1.0247
dumbly,-0.325,1.00499
dumbness,-0.475,0.53852
dumbs,-0.375,0.67082
dumbstruck,-0.25,1.34164
dumbwaiter,0.05,1.07703
dumbwaiters,-0.025,0.3
dump,-0.4,0.91652
dumpcart,-0.15,0.8
dumped,-0.425,0.78102
dumper,-0.3,0.87178
dumpers,-0.2,0.6
dumpier,-0.35,0.66332
dumpiest,-0.4,1.35647
dumpiness,-0.3,0.6
dumping,-0.325,1.1
dumpings,-0.275,0.83066
dumpish,-0.45,0.6
dumpling,0.1,0.91652
dumplings,-0.075,1.26886
dumps,-0.425,0.9
dumpster,-0.15,0.91652
dumpsters,-0.25,0.89443
dumpy,-0.425,0.78102
dupe,-0.375,0.5
duped,-0.45,0.4
dwell,0.125,0.92195
dwelled,0.1,0.66332
dweller,0.075,0.64031
dwellers,-0.075,0.9
dwelling,0.025,0.53852
dwells,-0.025,0.53852
dynamic,0.4,0.8
dynamical,0.3,0.87178
dynamically,0.375,1.0247
dynamics,0.275,1.13578
dynamism,0.4,1.11355
dynamisms,0.3,0.9798
dynamist,0.35,1.0198
dynamistic,0.375,1.0247
dynamists,0.225,0.83066
dynamite,0.175,2.2383
dynamited,-0.225,1.04403
dynamiter,-0.3,0.87178
dynamiters,0.1,1.42829
dynamites,-0.075,1.73494
dynamitic,0.225,1.3
dynamiting,0.05,1.32665
dynamometer,0.075,0.64031
dynamometers,0.075,0.45826
dynamometric,0.075,0.9
dynamometry,0.15,1.28062
dynamos,0.075,0.64031
dynamotor,0.15,0.91652
dysfunction,-0.45,0.6
eager,0.375,0.67082
eagerly,0.4,0.66332
eagerness,0.425,0.45826
eagers,0.4,0.66332
earnest,0.575,0.64031
ease,0.375,0.92195
eased,0.3,0.74833
easeful,0.375,1.0247
easefully,0.35,0.4899
easel,0.075,0.45826
easement,0.4,0.91652
easements,0.1,1.11355
eases,0.325,0.78102
easier,0.45,0.9798
easiest,0.45,1.07703
easily,0.35,0.4899
easiness,0.4,0.66332
easing,0.25,0.63246
easy,0.475,1.04403
easygoing,0.325,0.45826
easygoingness,0.375,0.67082
ecstacy,0.825,1.18743
ecstasies,0.575,1.34536
ecstasy,0.725,1.75784
ecstatic,0.575,1.34536
ecstatically,0.7,1.93907
ecstatics,0.725,0.83066
eerie,-0.375,0.67082
eery,-0.225,1.04403
effective,0.525,0.83066
effectively,0.475,0.7
efficiencies,0.4,0.4899
efficiency,0.375,0.5
efficient,0.45,0.9798
efficiently,0.425,0.78102
effin,-0.575,1.18743
egotism,-0.35,0.91652
egotisms,-0.25,0.7746
egotist,-0.575,0.9
egotistic,-0.35,1.0198
egotistical,-0.225,1.57797
egotistically,-0.45,0.87178
egotists,-0.425,0.78102
elated,0.8,0.74833
elation,0.375,1.43178
elegance,0.525,0.53852
elegances,0.45,0.6
elegancies,0.4,1.0198
elegancy,0.525,0.53852
elegant,0.525,0.83066
elegantly,0.475,0.83066
embarrass,-0.3,1.66132
embarrassable,-0.4,0.8
embarrassed,-0.375,0.67082
embarrassedly,-0.275,1.44568
embarrasses,-0.425,0.78102
embarrassing,-0.4,0.8
embarrassingly,-0.425,0.64031
embarrassment,-0.475,0.53852
embarrassments,-0.425,0.64031
embittered,-0.1,1.35647
embrace,0.325,1.34536
emergency,-0.4,2.05913
emotional,0.15,1.0198
empathetic,0.425,1.1
emptied,-0.175,0.64031
emptier,-0.175,0.64031
emptiers,-0.175,0.78102
empties,-0.175,0.64031
emptiest,-0.45,1.07703
emptily,-0.25,1.41421
emptiness,-0.475,0.7
emptinesses,-0.375,1.11803
emptins,-0.075,0.45826
empty,-0.2,0.74833
emptying,-0.15,1.0198
enchanted,0.4,0.8
encourage,0.575,0.78102
encouraged,0.375,0.5
encouragement,0.45,0.9798
encouragements,0.525,0.7
encourager,0.375,0.5
encouragers,0.375,0.5
encourages,0.475,0.53852
encouraging,0.6,0.66332
encouragingly,0.5,0.7746
endorse,0.325,0.9
endorsed,0.25,0.89443
endorsement,0.325,0.9
endorses,0.35,0.4899
enemies,-0.55,0.6
enemy,-0.625,0.92195
energetic,0.475,0.53852
energetically,0.45,0.6
energetics,0.075,0.64031
energies,0.225,1.04403
energise,0.55,0.4
energised,0.525,0.53852
energises,0.55,0.6
energising,0.475,0.7
energization,0.4,0.66332
energizations,0.375,1.11803
energize,0.525,0.7
energized,0.575,0.64031
energizer,0.525,0.53852
energizers,0.425,0.9
energizes,0.525,0.53852
energizing,0.5,0.63246
energy,0.275,0.83066
engage,0.35,0.8
engaged,0.425,1.1
engagement,0.5,1.34164
engagements,0.15,0.8
engager,0.275,0.7
engagers,0.25,0.7746
engages,0.25,0.7746
engaging,0.35,0.4899
engagingly,0.375,0.67082
engrossed,0.15,1.49666
enjoy,0.55,0.6
enjoyable,0.475,0.53852
enjoyableness,0.475,1.13578
enjoyably,0.45,0.4
enjoyed,0.575,0.64031
enjoyer,0.55,0.6
enjoyers,0.55,0.74833
enjoying,0.6,0.66332
enjoyment,0.65,0.4899
enjoyments,0.5,0.7746
enjoys,0.575,0.45826
enlighten,0.575,1.1
enlightened,0.55,0.87178
enlightening,0.575,0.64031
enlightens,0.425,1.00499
ennui,-0.3,0.6
enrage,-0.65,0.91652
enraged,-0.425,1.79165
enrages,-0.45,1.6
enraging,-0.7,0.74833
enrapture,0.75,0.63246
enslave,-0.775,0.9434
enslaved,-0.425,2.41039
enslaves,-0.4,2.15407
ensure,0.4,0.91652
ensuring,0.275,0.9434
enterprising,0.575,0.78102
entertain,0.325,0.64031
entertained,0.425,0.64031
entertainer,0.4,1.2
entertainers,0.25,0.7746
entertaining,0.475,0.83066
entertainingly,0.475,0.53852
entertainment,0.45,0.9798
entertainments,0.575,1.18743
entertains,0.6,0.66332
enthral,0.1,1.42829
enthuse,0.4,0.66332
enthused,0.5,0.63246
enthuses,0.425,0.78102
enthusiasm,0.475,0.9434
enthusiasms,0.5,0.89443
enthusiast,0.375,0.67082
enthusiastic,0.55,0.9798
enthusiastically,0.65,0.66332
enthusiasts,0.35,0.91652
enthusing,0.475,0.7
entitled,0.275,0.83066
entrusted,0.2,1.46969
envied,-0.275,0.83066
envier,-0.25,0.7746
enviers,-0.275,1.13578
envies,-0.2,0.9798
envious,-0.275,0.83066
envy,-0.275,0.83066
envying,-0.2,1.32665
envyingly,-0.325,1.55242
erroneous,-0.45,0.6
error,-0.425,0.64031
errors,-0.35,0.66332
escape,0.175,1.00499
escapes,0.125,1.36015
escaping,0.05,1.46969
esteemed,0.475,0.83066
ethical,0.575,0.78102
euphoria,0.825,0.9
euphoric,0.8,0.87178
eviction,-0.5,0.63246
evil,-0.85,0.91652
evildoer,-0.775,0.7
evildoers,-0.6,0.4899
evildoing,-0.775,0.7
evildoings,-0.625,1.0247
eviler,-0.525,1.13578
evilest,-0.625,1.0247
eviller,-0.725,0.83066
evillest,-0.825,0.78102
evilly,-0.85,0.8
evilness,-0.775,1.04403
evils,-0.675,0.78102
exaggerate,-0.15,0.66332
exaggerated,-0.1,1.2
exaggerates,-0.15,1.28062
exaggerating,-0.175,0.9
exasperated,-0.45,1.53623
excel,0.5,1.0
excelled,0.55,0.87178
excellence,0.775,0.9434
excellences,0.625,0.92195
excellencies,0.6,0.4899
excellency,0.625,0.80623
excellent,0.675,0.64031
excellently,0.775,0.7
excelling,0.625,0.67082
excels,0.625,0.92195
excelsior,0.175,0.64031
excitabilities,0.375,1.0247
excitability,0.3,0.87178
excitable,0.375,0.92195
excitableness,0.25,1.09545
excitant,0.45,1.16619
excitants,0.3,0.9798
excitation,0.45,0.87178
excitations,0.45,1.16619
excitative,0.075,0.78102
excitatory,0.275,1.7
excite,0.525,1.22066
excited,0.35,0.4899
excitedly,0.575,0.9
excitement,0.55,0.4
excitements,0.475,0.53852
exciter,0.475,0.9434
exciters,0.35,1.42829
excites,0.525,0.83066
exciting,0.55,0.87178
excitingly,0.475,0.9434
exciton,0.075,0.64031
excitonic,0.05,0.6
excitons,0.2,0.6
excitor,0.125,0.67082
exclude,-0.225,1.13578
excluded,-0.35,1.62481
exclusion,-0.3,1.249
exclusive,0.125,0.92195
excruciate,-0.675,0.64031
excruciated,-0.325,1.9
excruciates,-0.25,2.19089
excruciating,-0.825,0.9
excruciatingly,-0.725,1.04403
excruciation,-0.85,0.66332
excruciations,-0.475,1.51327
excuse,0.075,1.73494
exempt,0.1,0.91652
exhaust,-0.3,0.87178
exhausted,-0.375,1.28452
exhauster,-0.325,0.64031
exhausters,-0.325,0.45826
exhaustibility,-0.2,1.07703
exhaustible,-0.25,0.63246
exhausting,-0.375,0.5
exhaustion,-0.375,0.92195
exhaustions,-0.275,0.9434
exhaustive,-0.125,0.67082
exhaustively,-0.175,0.78102
exhaustiveness,-0.275,1.3
exhaustless,0.05,1.8868
exhaustlessness,0.225,1.75784
exhausts,-0.275,0.53852
exhilarated,0.75,0.63246
exhilarates,0.7,1.07703
exhilarating,0.425,1.61555
exonerate,0.45,0.74833
exonerated,0.45,1.83303
exonerates,0.4,1.90788
exonerating,0.25,1.41421
expand,0.325,0.64031
expands,0.1,0.66332
expel,-0.475,1.44568
expelled,-0.25,1.94936
expelling,-0.4,1.49666
expels,-0.4,1.11355
exploit,-0.1,1.62481
exploited,-0.5,1.0
exploiting,-0.475,1.22066
exploits,-0.35,0.8
exploration,0.225,0.7
explorations,0.075,1.1
expose,-0.15,0.8
exposed,-0.075,1.18743
exposes,-0.125,0.92195
exposing,-0.275,0.7
extend,0.175,0.78102
extends,0.125,0.80623
exuberant,0.7,0.6
exultant,0.75,1.18322
exultantly,0.35,1.49666
fab,0.5,1.0
fabulous,0.6,0.8
fabulousness,0.7,1.07703
fad,0.225,0.83066
fag,-0.525,0.83066
faggot,-0.85,0.8
faggots,-0.8,0.9798
fail,-0.625,0.67082
failed,-0.575,0.9
failing,-0.575,1.1
failingly,-0.35,0.8
failings,-0.55,1.07703
faille,0.025,0.3
fails,-0.45,0.74833
failure,-0.575,1.00499
failures,-0.5,0.63246
fainthearted,-0.075,1.34536
fair,0.325,1.00499
faith,0.45,0.6
faithed,0.325,1.00499
faithful,0.475,0.83066
faithfully,0.45,1.07703
faithfulness,0.475,0.53852
faithless,-0.25,0.89443
faithlessly,-0.225,1.51327
faithlessness,-0.45,1.249
faiths,0.45,0.9798
fake,-0.525,0.9434
fakes,-0.45,1.07703
faking,-0.45,0.87178
fallen,-0.375,0.80623
falling,-0.15,1.8
falsified,-0.4,0.91652
falsify,-0.5,0.7746
fame,0.475,1.13578
fan,0.325,0.78102
fantastic,0.65,0.91652
fantastical,0.5,1.18322
fantasticalities,0.525,1.04403
fantasticality,0.425,1.26886
fantasticalness,0.325,1.9
fantasticate,0.375,1.96214
fantastico,0.1,1.49666
farce,-0.425,0.45826
fascinate,0.6,1.0198
fascinated,0.525,0.83066
fascinates,0.5,0.44721
fascination,0.55,0.74833
fascinating,0.625,0.92195
fascist,-0.65,0.8
fascists,-0.2,1.6
fatal,-0.625,1.62788
fatalism,-0.15,1.8
fatalisms,-0.425,0.9
fatalist,-0.125,1.56525
fatalistic,-0.25,1.34164
fatalists,-0.3,0.87178
fatalities,-0.725,0.7
fatality,-0.875,0.67082
fatally,-0.8,0.74833
fatigue,-0.25,0.7746
fatigued,-0.35,0.4899
fatigues,-0.325,1.00499
fatiguing,-0.3,0.6
fatiguingly,-0.375,0.80623
fault,-0.425,0.64031
faulted,-0.35,0.4899
faultfinder,-0.2,1.32665
faultfinders,-0.375,0.80623
faultfinding,-0.525,0.83066
faultier,-0.525,0.7
faultiest,-0.525,0.53852
faultily,-0.5,0.89443
faultiness,-0.375,0.92195
faulting,-0.35,0.4899
faultless,0.5,1.41421
faultlessly,0.5,1.09545
faultlessness,0.275,2.02237
faults,-0.525,0.3
faulty,-0.325,0.45826
fav,0.5,0.63246
fave,0.475,1.51327
favor,0.425,0.64031
favorable,0.525,0.7
favorableness,0.55,0.87178
favorably,0.4,0.66332
favored,0.45,0.6
favorer,0.325,1.18743
favorers,0.35,0.4899
favoring,0.45,0.6
favorite,0.5,0.63246
favorited,0.425,0.45826
favorites,0.45,0.6
favoritism,0.175,1.79165
favoritisms,0.175,0.9
favors,0.25,0.7746
favour,0.475,0.53852
favoured,0.45,0.4
favourer,0.4,0.4899
favourers,0.4,0.66332
favouring,0.325,0.45826
favours,0.45,0.6
fear,-0.55,0.6
feared,-0.55,0.6
fearful,-0.55,0.87178
fearfuller,-0.55,0.87178
fearfullest,-0.625,1.0247
fearfully,-0.55,0.87178
fearfulness,-0.45,0.87178
fearing,-0.675,0.9
fearless,0.475,0.83066
fearlessly,0.275,1.22066
fearlessness,0.275,1.13578
fears,-0.45,0.6
fearsome,-0.425,0.64031
fed up,-0.45,1.249
feeble,-0.3,1.249
feeling,0.125,1.0247
felonies,-0.625,0.5
felony,-0.625,1.36015
ferocious,-0.1,1.56205
ferociously,-0.275,1.86815
ferociousness,-0.25,1.89737
ferocities,-0.25,1.54919
ferocity,-0.175,1.67631
fervent,0.275,1.44568
fervid,0.125,2.20227
festival,0.55,0.6
festivalgoer,0.325,1.1
festivalgoers,0.3,0.9798
festivals,0.375,1.11803
festive,0.5,0.63246
festively,0.55,0.6
festiveness,0.6,0.8
festivities,0.525,0.7
festivity,0.55,1.07703
feud,-0.35,0.66332
feudal,-0.2,0.87178
feudalism,-0.225,1.37477
feudalisms,-0.05,0.74833
feudalist,-0.225,1.13578
feudalistic,-0.275,0.7
feudalities,-0.1,1.0198
feudality,-0.125,1.28452
feudalization,-0.075,1.18743
feudalize,-0.125,0.92195
feudalized,-0.2,1.07703
feudalizes,-0.025,0.53852
feudalizing,-0.175,1.34536
feudally,-0.15,0.66332
feudaries,-0.075,0.9
feudary,-0.2,0.74833
feudatories,-0.125,0.92195
feudatory,-0.025,0.83066
feuded,-0.55,0.6
feuding,-0.4,0.66332
feudist,-0.275,0.83066
feudists,-0.175,0.9
feuds,-0.35,1.0198
fiasco,-0.575,0.64031
fidgety,-0.35,0.66332
fiery,-0.35,0.91652
fiesta,0.525,0.7
fiestas,0.375,1.0247
fight,-0.4,1.56205
fighter,0.15,1.11355
fighters,-0.05,1.46969
fighting,-0.375,1.11803
fightings,-0.475,0.53852
fights,-0.425,0.64031
fine,0.2,0.6
fire,-0.35,1.49666
fired,-0.65,0.91652
firing,-0.35,0.8
fit,0.375,1.0247
fitness,0.275,0.9434
flagship,0.1,0.91652
flatter,0.1,1.42829
flattered,0.4,2.00998
flatterer,-0.075,1.9
flatterers,0.075,1.84662
flatteries,0.3,1.16619
flattering,0.325,2.19317
flatteringly,0.25,1.61245
flatters,0.15,2.10713
flattery,0.1,1.49666
flawless,0.575,2.14709
flawlessly,0.2,1.83303
flees,-0.175,1.18743
flexibilities,0.25,1.09545
flexibility,0.35,0.8
flexible,0.225,0.83066
flexibly,0.325,0.78102
flirtation,0.425,0.64031
flirtations,-0.025,1.64012
flirtatious,0.125,2.5
flirtatiously,-0.025,1.86815
flirtatiousness,0.15,1.85472
flirted,-0.05,1.98997
flirter,-0.1,1.85472
flirters,0.15,2.10713
flirtier,-0.025,1.37477
flirtiest,0.1,1.74356
flirting,0.2,1.83303
flirts,0.175,1.18743
flirty,0.15,1.35647
flop,-0.35,0.4899
flops,-0.35,0.8
flu,-0.4,0.8
flunk,-0.325,0.78102
flunked,-0.525,0.9434
flunker,-0.475,1.04403
flunkers,-0.4,0.8
flunkey,-0.45,0.9798
flunkeys,-0.15,1.2
flunkies,-0.35,1.11355
flunking,-0.375,0.92195
flunks,-0.45,1.32665
flunky,-0.45,1.4
flustered,-0.25,1.18322
focused,0.4,0.91652
foe,-0.475,1.22066
foehns,0.05,0.4
foeman,-0.45,0.6
foemen,-0.075,1.18743
foes,-0.5,0.89443
foetal,-0.025,0.3
foetid,-0.575,1.41774
foetor,-0.75,0.89443
foetors,-0.525,1.04403
foetus,0.05,0.6
foetuses,0.05,0.6
fond,0.475,0.83066
fondly,0.475,0.7
fondness,0.625,0.67082
fool,-0.475,0.53852
fooled,-0.4,0.4899
fooleries,-0.45,1.07703
foolery,-0.45,0.87178
foolfish,-0.2,0.87178
foolfishes,-0.1,0.4899
foolhardier,-0.375,0.67082
foolhardiest,-0.325,0.64031
foolhardily,-0.25,1.41421
foolhardiness,-0.4,0.66332
foolhardy,-0.35,0.4899
fooling,-0.425,0.64031
foolish,-0.275,0.83066
foolisher,-0.425,0.64031
foolishest,-0.35,1.28062
foolishly,-0.45,0.6
foolishness,-0.45,0.6
foolishnesses,-0.5,0.89443
foolproof,0.4,0.91652
fools,-0.55,0.74833
foolscaps,-0.2,0.6
forbid,-0.325,0.78102
forbiddance,-0.35,1.35647
forbiddances,-0.25,2.0
forbidden,-0.45,0.74833
forbidder,-0.4,0.66332
forbidders,-0.375,0.80623
forbidding,-0.475,0.7
forbiddingly,-0.475,0.53852
forbids,-0.325,0.45826
forced,-0.5,0.63246
foreclosure,-0.125,1.43178
foreclosures,-0.6,0.66332
forgave,0.35,0.91652
forget,-0.225,0.53852
forgetful,-0.275,1.3
forgivable,0.425,0.64031
forgivably,0.4,0.66332
forgive,0.275,1.22066
forgiven,0.4,0.66332
forgiveness,0.275,1.22066
forgiver,0.425,0.78102
forgivers,0.3,0.6
forgives,0.425,0.78102
forgiving,0.475,0.7
forgivingly,0.35,0.4899
forgivingness,0.45,0.6
forgotten,-0.225,0.53852
fortunate,0.475,0.53852
fought,-0.325,0.78102
foughten,-0.475,1.3
frantic,-0.475,0.7
frantically,-0.35,0.4899
franticness,-0.175,1.18743
fraud,-0.7,0.6
frauds,-0.575,0.45826
fraudster,-0.625,0.92195
fraudsters,-0.6,0.91652
fraudulence,-0.575,0.78102
fraudulent,-0.55,0.6
freak,-0.475,0.9434
freaked,-0.3,1.32665
freakier,-0.325,1.1
freakiest,-0.4,1.0198
freakiness,-0.35,0.8
freaking,-0.45,1.16619
freakish,-0.525,1.37477
freakishly,-0.2,1.249
freakishness,-0.35,1.68523
freakout,-0.45,1.6
freakouts,-0.375,0.92195
freaks,-0.1,1.35647
freaky,-0.375,1.20416
free,0.575,0.9
freebase,-0.025,1.44568
freebased,0.2,1.16619
freebases,0.2,1.249
freebasing,-0.1,1.56205
freebee,0.325,0.78102
freebees,0.325,1.26886
freebie,0.45,0.9798
freebies,0.45,0.9798
freeboard,0.075,0.64031
freeboards,0.175,0.9
freeboot,-0.175,1.67631
freebooter,-0.425,1.00499
freebooters,-0.05,1.32665
