WORD,VADER,STD
]:<,-0.625,0.80623
^<_<,0.35,1.11355
^urs,-0.7,0.6
abandon,-0.475,0.53852
abandoned,-0.5,1.09545
abandoner,-0.475,0.83066
abandoners,-0.475,0.83066
abandoning,-0.4,0.8
abandonment,-0.6,1.0198
abandonments,-0.425,0.45826
abandons,-0.325,0.9
abducted,-0.575,1.18743
abduction,-0.7,0.87178
abductions,-0.5,1.41421
abhor,-0.5,1.09545
abhorred,-0.6,1.49666
abhorrent,-0.775,1.3
abhors,-0.725,1.51327
abilities,0.25,0.63246
ability,0.325,0.64031
aboard,0.025,0.3
absentee,-0.275,0.53852
absentees,-0.2,0.6
absolve,0.3,1.46969
absolved,0.375,0.92195
absolves,0.325,1.00499
absolving,0.4,0.8
abuse,-0.8,0.6
abused,-0.575,0.64031
abuser,-0.65,0.4899
abusers,-0.65,1.0198
abuses,-0.65,0.66332
abusing,-0.5,1.41421
abusive,-0.8,0.74833
abusively,-0.7,0.6
abusiveness,-0.625,0.92195
abusivenesses,-0.75,0.63246
accept,0.4,0.91652
acceptabilities,0.4,0.66332
acceptability,0.275,0.53852
acceptable,0.325,0.45826
acceptableness,0.325,0.9
acceptably,0.375,0.67082
acceptance,0.5,0.63246
acceptances,0.425,0.78102
acceptant,0.4,0.8
acceptation,0.325,0.78102
acceptations,0.225,0.83066
accepted,0.275,0.3
accepting,0.4,0.66332
accepts,0.325,0.45826
accident,-0.525,0.83066
accidental,-0.075,0.45826
accidentally,-0.35,0.91652
accidents,-0.325,0.78102
accomplish,0.45,0.6
accomplished,0.475,0.53852
accomplishes,0.425,0.9
accusation,-0.25,1.09545
accusations,-0.325,1.26886
accuse,-0.2,1.53623
accused,-0.3,1.46969
accuses,-0.35,1.0198
accusing,-0.175,1.34536
ache,-0.4,1.2
ached,-0.4,0.8
aches,-0.25,0.7746
achievable,0.325,0.45826
aching,-0.55,0.74833
acquit,0.2,1.72047
acquits,0.025,1.37477
acquitted,0.25,0.89443
acquitting,0.325,0.78102
